File Name,Object Count
0728_neurohub_97.puml,6
0729_neurohub_98.puml,3
0730_neurohub_99.puml,5
0731_neurohub_100.puml,3
0732_neurohub_101.puml,4
0733_neurohub_102.puml,5
0734_federalspending_1.puml,1
0735_federalspending_2.puml,0
0736_federalspending_3.puml,4
0737_federalspending_4.puml,3
0738_federalspending_5.puml,6
0739_federalspending_6.puml,0
0740_federalspending_7.puml,0
0741_federalspending_8.puml,4
0742_federalspending_9.puml,5
0743_federalspending_10.puml,5
0744_federalspending_11.puml,0
0745_federalspending_12.puml,0
0746_federalspending_13.puml,5
0747_federalspending_14.puml,5
0748_federalspending_15.puml,4
0749_federalspending_16.puml,5
0750_federalspending_17.puml,3
0751_federalspending_18.puml,2
0752_federalspending_19.puml,4
0753_federalspending_20.puml,0
0754_federalspending_21.puml,4
0755_federalspending_22.puml,4
0756_federalspending_23.puml,3
0757_federalspending_24.puml,6
0758_federalspending_25.puml,5
0759_federalspending_26.puml,5
0760_federalspending_27.puml,4
0761_federalspending_28.puml,4
0762_federalspending_29.puml,6
0763_federalspending_30.puml,5
0764_federalspending_31.puml,4
0765_federalspending_32.puml,4
0766_federalspending_33.puml,6
0767_federalspending_34.puml,3
0768_federalspending_35.puml,4
0769_federalspending_36.puml,5
0770_federalspending_37.puml,4
0771_federalspending_38.puml,5
0772_federalspending_39.puml,5
0773_federalspending_40.puml,4
0774_federalspending_41.puml,3
0775_federalspending_42.puml,5
0776_federalspending_43.puml,3
0777_federalspending_44.puml,0
0778_federalspending_45.puml,0
0779_federalspending_46.puml,5
0780_federalspending_47.puml,5
0781_federalspending_48.puml,4
0782_federalspending_49.puml,5
0783_federalspending_50.puml,5
0784_federalspending_51.puml,3
0785_federalspending_52.puml,5
0786_federalspending_53.puml,5
0787_federalspending_54.puml,4
0788_federalspending_55.puml,5
0789_federalspending_56.puml,5
0790_federalspending_57.puml,6
0791_federalspending_58.puml,7
0792_federalspending_59.puml,5
0793_federalspending_60.puml,0
0794_federalspending_61.puml,7
0795_federalspending_62.puml,0
0796_federalspending_63.puml,3
0797_federalspending_64.puml,0
0798_federalspending_65.puml,4
0799_federalspending_66.puml,4
0800_federalspending_67.puml,5
0801_federalspending_68.puml,6
0802_federalspending_69.puml,0
0803_federalspending_70.puml,5
0804_federalspending_71.puml,4
0805_federalspending_72.puml,5
0806_federalspending_73.puml,4
0807_federalspending_74.puml,6
0808_federalspending_75.puml,6
0809_federalspending_76.puml,0
0810_federalspending_77.puml,6
0811_federalspending_78.puml,5
0812_federalspending_79.puml,5
0813_federalspending_80.puml,0
0814_federalspending_81.puml,7
0815_federalspending_82.puml,5
0816_federalspending_83.puml,0
0817_federalspending_84.puml,5
0818_federalspending_85.puml,0
0819_federalspending_86.puml,5
0820_federalspending_87.puml,6
0821_federalspending_88.puml,5
0822_federalspending_89.puml,3
0823_federalspending_90.puml,4
0824_federalspending_91.puml,4
0825_federalspending_92.puml,6
0826_federalspending_93.puml,4
0827_federalspending_94.puml,4
0828_federalspending_95.puml,4
0829_federalspending_96.puml,5
0830_federalspending_97.puml,5
0831_federalspending_98.puml,0
0832_loudoun_1.puml,4
0833_loudoun_2.puml,4
0834_loudoun_3.puml,0
0835_loudoun_4.puml,4
0836_loudoun_5.puml,6
0837_loudoun_6.puml,5
0838_loudoun_7.puml,3
0839_loudoun_8.puml,3
0840_loudoun_9.puml,3
0841_loudoun_10.puml,3
0842_loudoun_11.puml,3
0843_loudoun_12.puml,2
0844_loudoun_13.puml,5
0845_loudoun_14.puml,4
0846_loudoun_15.puml,3
0847_loudoun_16.puml,3
0848_loudoun_17.puml,4
0849_loudoun_18.puml,5
0850_loudoun_19.puml,5
0851_loudoun_20.puml,3
0852_loudoun_21.puml,4
0853_loudoun_22.puml,0
0854_loudoun_23.puml,0
0855_loudoun_24.puml,3
0856_loudoun_25.puml,4
0857_loudoun_26.puml,5
0858_loudoun_27.puml,0
0859_loudoun_28.puml,5
0860_loudoun_29.puml,7
0861_loudoun_30.puml,5
0862_loudoun_31.puml,4
0863_loudoun_32.puml,5
0864_loudoun_33.puml,0
0865_loudoun_34.puml,0
0866_loudoun_35.puml,5
